source_pdf,item_number,po_number,supplier,inspection_date,inspector,heat_number,quantity,heat_match,po_match,measurements_result,certificate_result,final_result,OD_avg,Wall_avg,ID_avg
05-19-2026,A513-10200-011,96345,McKnight Steel & Tube,5/19/2026,JC,C541910,145 ft,PASS,PASS,PASS,PASS,LOT ACCEPTED,0.4399,0.0507,
5-15-25,A269-30400-242,94295,Kamal,5/15/25,JC,K5-3655A,"5,000 ft",PASS,PASS,FAIL,PASS,LOT REJECTED,0.984,0.06,
5-22-2026,A269-31600-043,96388,High,05/21/26,S.R,N29136,100 pr,PASS,PASS,FAIL,PASS,LOT ACCEPTED,0.251,0.0348,
A513-10200-021_PO96103,A513-10200-021,96103,Pennar Ind,5/28/2026,GB,C590585,50874,PASS,PASS,PASS,PASS,LOT ACCEPTED,33.22,,30.238
A513-10200-021_PO96147,A513-10200-021,96147,Pennar Ind,5/28/2026,GB,C92837,"50,874",PASS,PASS,PASS,PASS,LOT ACCEPTED,33.22,,30.24
